Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0oSzax17MidF4vfgd8PsxF,"Leonie - Beatsole Remix","Leonie (Beatsole Remix)","Dj T.H.,Beatsole",2020-10-02,217850,5,killbottt,2024-04-16T09:48:26Z,"german trance,progressive trance,russian trance,uplifting trance","AVA Recordings",0.493,0.936,1,-3.824,0,0.0868,0.00207,0.497,0.563,0.134,129.988,4
5SFF1pAlaGbgrb9hVsOe2V,"Set Me To Light - Daniel Kandi Remix","Set Me To Light (Daniel Kandi Remix)","Ronski Speed,Linnea Schossow,Daniel Kandi",2021-05-21,234000,6,killbottt,2024-04-16T09:48:26Z,"progressive house,progressive trance,trance,uplifting trance,danish electronic","Digital Society Recordings",0.505,0.967,11,-5.1,0,0.0688,0.000701,0.45,0.374,0.384,137.985,4
2L93hpsnJ8scBHIQFZzh1b,"Take Everything","Take Everything","Gareth Emery,Emma Hewitt",2018-12-14,212238,38,killbottt,2024-04-16T09:48:26Z,"edm,pop dance,progressive electro house,progressive house,trance,vocal trance","Garuda",0.506,0.823,6,-5.272,1,0.0424,0.0234,0.000916,0.303,0.405,133.954,4
4fkH79gfxgQgeA5D8JgpSN,"Eternal","Eternal","Aurosonic,Cathy Burton",2019-11-01,210000,21,killbottt,2024-04-16T09:48:26Z,"russian trance,trance,vocal trance","Aurosonic Music (RazNitzanMusic)",0.499,0.962,4,-4.189,0,0.0492,0.00337,0.0783,0.332,0.161,128.011,3
02ceF9DLAoTVgmM2SLck0x,"Black Hole - Radio Edit","Black Hole","Craig Connelly,Christina Novelli",2013-07-01,259693,13,killbottt,2024-04-16T09:48:26Z,"progressive house,progressive trance,trance,uplifting trance,vocal trance","Black Hole Recordings",0.496,0.928,4,-5.968,1,0.0525,0.00362,0.00809,0.195,0.195,135.017,4
19YVktHDrvRus7f6Cxzp6C,"Your Everything","Your Everything","A.r.d.i.,Linnea Schossow",2016-09-16,243369,6,killbottt,2024-04-16T09:48:26Z,"progressive trance,progressive uplifting trance,trance,uplifting trance","A State of Trance",0.503,0.981,7,-5.877,0,0.121,0.00807,0.651,0.309,0.0547,138.007,4
6v50b6w6NKhPQ6vmYAuAfI,"Icarus","Icarus / Demons Are Forever","Ralphie B",2012-04-23,223422,20,killbottt,2024-04-16T09:48:26Z,"dutch trance,trance,uplifting trance","A State of Trance",0.441,0.997,11,-3.418,0,0.086,0.0483,0.521,0.0635,0.433,136.002,4
2i6IbHIduSeLQKMC5cIZWM,"Skyline","Skyline","Last Soldier,Sion Rae",2021-11-26,228000,1,killbottt,2024-04-16T09:48:26Z,"progressive trance,tech trance,uplifting trance","Always Alive Recordings",0.447,0.968,10,-6.702,0,0.0536,0.000656,0.924,0.384,0.484,137.994,4
2H4xAf95gUs2KHIHu5qeLM,"Alice's Door - DRYM Remix","Alice's Door (DRYM Remix)","Sleepthief,Zoë Johnston,DRYM",2019-12-06,213750,17,killbottt,2024-04-16T09:48:26Z,"new age,slc indie,vocal trance,progressive trance,trance,uplifting trance","RNM",0.447,0.827,4,-5.682,1,0.0376,0.000292,0.245,0.121,0.115,128.022,4
4W4CPMsAzCTdJ8oXA6Qewa,"Out of the Sky - Chris Schweizer Remix","Out of the Sky (Chris Schweizer Remix)","Lange,Sarah Howells,Chris Schweizer",2021-04-16,252178,29,killbottt,2024-04-16T09:48:26Z,"progressive house,progressive trance,trance,uplifting trance,vocal trance,deep uplifting trance","Black Hole Recordings",0.612,0.968,0,-4.698,0,0.0914,0.00491,0.321,0.375,0.289,137.963,4
0WwuiGKwQ3NGAUO71DldVJ,"This Is Home","5000 Miles","Ashley Wallbridge,Bodine Monet",2021-08-13,202173,4,killbottt,2024-04-16T09:48:26Z,"progressive house,progressive trance,trance,uplifting trance","We'll Be OK",0.448,0.931,9,-3.352,0,0.0654,0.00184,0.0000772,0.535,0.31,138.003,4
18xKnpoOMz0z5pv8mcvNqG,"Echoes","Echoes","Allen Watts,SILVELA",2022-01-07,232016,17,killbottt,2024-04-16T09:48:26Z,"progressive house,progressive trance,trance,uplifting trance","Who's Afraid Of 138?!",0.413,0.994,8,-5.161,0,0.125,0.00168,0.953,0.387,0.0894,138.011,4
1L6qKJRa1GOLjauvasuaCA,"Lost - Gareth Emery Remix","Lost (Gareth Emery Remix)","Morgan Page,Gian Varela,Fagin,Gareth Emery",2021-09-03,256920,5,killbottt,2024-04-16T09:48:26Z,"edm,electro house,pop dance,progressive house,big room,progressive electro house,trance","Kontor Records",0.491,0.927,6,-5.881,0,0.0499,0.0424,0.0348,0.106,0.169,124.938,4
3g2Pv24yQKfRCZ2UFKhmXe,"Magnum Opus","Magnum Opus","Maarten de Jong",2022-03-25,213361,23,killbottt,2024-04-16T09:48:26Z,"deep uplifting trance,dutch trance,progressive trance,tech trance,trance,uplifting trance","Who's Afraid Of 138?!",0.368,0.98,4,-5.498,0,0.0575,0.0017,0.941,0.418,0.21,135.007,4
66qLxvxlzcgQmxSVr32GhG,"Age of Infinity","Age of Infinity","Alex M.O.R.P.H.,Diago",2022-04-15,194275,19,killbottt,2024-04-16T09:48:26Z,"german techno,german trance,progressive house,progressive trance,trance,uplifting trance,italian trance","Morphland",0.484,0.975,1,-3.759,1,0.0481,0.00033,0.798,0.317,0.337,138.003,4
1QH83zBuFEy7Tbgf2UvAnD,"Tuvan","Tuvan","GAIA",2009-11-02,170360,55,killbottt,2024-04-16T09:48:26Z,"trance,uplifting trance","Armind",0.518,0.888,7,-7.539,1,0.0486,0.0013,0.908,0.203,0.289,131.984,4
3G5PWGVpzTCliUyJ720qLj,"5000 Miles","5000 Miles","Ashley Wallbridge,Bodine Monet",2021-08-13,230892,23,killbottt,2024-04-16T09:48:26Z,"progressive house,progressive trance,trance,uplifting trance","We'll Be OK",0.561,0.877,10,-4.534,1,0.0491,0.00063,0.00186,0.285,0.246,128.046,4
2hDaVG3ZqiAxjk6pPW3Z0g,"Save You","Save You","Richard Durand,Christina Novelli",2019-09-20,197871,25,killbottt,2024-04-16T09:48:26Z,"dutch trance,progressive house,progressive trance,trance,uplifting trance,vocal trance","Magik Muzik",0.516,0.882,8,-6.995,1,0.0645,0.00155,0.00892,0.157,0.531,137.966,4
5oLxqwepEvaxJYe7fa8PNX,"Reckless - Standerwick Remix","Reckless (Standerwick Remix)","Gareth Emery,STANDERWICK,Wayward Daughter",2016-03-25,243750,25,killbottt,2024-04-16T09:48:26Z,"edm,pop dance,progressive electro house,progressive house,trance,progressive trance,uplifting trance","Garuda",0.509,0.907,5,-6.466,1,0.0436,0.00338,0.0826,0.426,0.173,137.976,4
20hqMT5kqzFZYmCPE9oRa0,"Serenade","Serenade","Robbie Seed,Caitlin Potter",2021-05-21,224000,12,killbottt,2024-04-16T09:48:26Z,"","Find Your Harmony",0.333,0.852,3,-7.075,1,0.0587,0.00473,0.00593,0.0964,0.0888,138.012,4
2Vep8oc0qn9ktd5h8V6J6H,"Twisted Hearts","Twisted Hearts","Robbie Seed,Yoli Rose",2022-05-13,214076,21,killbottt,2024-04-16T09:48:26Z,"","Find Your Harmony",0.523,0.909,7,-7.378,1,0.0377,0.00238,0.191,0.124,0.0624,138.061,4
4jNjqp4ByoO17UuQpy08ky,"My Remedy - Radio Mix","My Remedy","Robbie Seed,That Girl",2020-06-12,232000,19,killbottt,2024-04-16T09:48:26Z,"","inHarmony Music",0.542,0.962,10,-5.901,1,0.0485,0.000336,0.241,0.299,0.131,138.011,4
53Du8DsEyyvpBahU3d0DlC,"With Every Heartbeat","With Every Heartbeat","Digital Vision,That Girl",2020-09-18,236526,2,killbottt,2024-04-16T09:48:26Z,"","AVA White",0.24,0.954,11,-7.717,0,0.0682,0.00369,0.00788,0.352,0.13,138.011,4
5mhL1AgNIBu4mUKwygz5EH,"We Control The Sunlight - Dan Stone Remix","We Control The Sunlight (Dan Stone Remix)","Aly & Fila,Jwaydan,Dan Stone",2018-07-27,201277,21,killbottt,2024-04-16T09:48:26Z,"progressive house,trance,uplifting trance,vocal trance,progressive trance","Who's Afraid Of 138?!",0.466,0.881,1,-5.022,0,0.108,0.00325,0.00024,0.421,0.361,138.032,4
5ZCtpYMkxWtrRqH87N8sZ9,"Safe from Harm - Giuseppe Ottaviani Remix","Safe from Harm (The Remixes)","Markus Schulz,Emma Hewitt,Giuseppe Ottaviani",2018-06-29,235217,11,killbottt,2024-04-16T09:48:26Z,"edm,pop dance,progressive house,progressive trance,trance,vocal trance,italian trance,uplifting trance","Coldharbour Recordings",0.518,0.897,5,-7.586,1,0.0378,0.000267,0.0358,0.195,0.526,137.988,4
49kcxxzRgE76mIBhaWj2FD,"You'll Be OK - Giuseppe Ottaviani Remix","You'll Be OK","Gareth Emery,Annabel,Giuseppe Ottaviani",2020-03-27,209367,29,killbottt,2024-04-16T09:48:26Z,"edm,pop dance,progressive electro house,progressive house,trance,italian trance,uplifting trance","Gareth Emery",0.562,0.844,0,-8.776,1,0.057,0.000547,0.202,0.36,0.176,138.015,4
4dFoPcwivudDdqVZKYDnkg,"Synergy","Synergy","Giuseppe Ottaviani,Factor B",2019-11-08,229565,24,killbottt,2024-04-16T09:48:26Z,"italian trance,progressive house,trance,uplifting trance,progressive trance","GO MUSIC",0.141,0.965,1,-8.829,1,0.0583,0.00045,0.914,0.0782,0.129,137.994,3
6PdTTUgCn3DSHZKqfxeqEM,"Dancing In The Rain","A State Of Trance: Future Favorite - Best Of 2019","FUTURECODE,Roxanne Emery",2019-11-22,180909,1,killbottt,2024-04-16T09:48:26Z,"","Armada Music Bundles",0.568,0.876,3,-5.498,1,0.0495,0.00771,0.0000988,0.395,0.52,131.991,4
7LCk8ERf51g6RwH8N5RK4w,"Genesis - Radio Edit","Genesis","Driftmoon,DSharp",2015-08-07,196681,18,killbottt,2024-04-16T09:48:26Z,"progressive house,progressive trance,progressive uplifting trance,trance,uplifting trance,pop violin","A State of Trance",0.445,0.981,6,-4.315,0,0.0909,0.0547,0.555,0.368,0.0493,132.047,4
5Wh2PjVp2XaheOJ4Gi4Qz2,"One Little Step","One Little Step","Driftmoon,Ana Criado",2022-09-23,184347,13,killbottt,2024-04-16T09:48:26Z,"progressive house,progressive trance,progressive uplifting trance,trance,uplifting trance,vocal trance","Amsterdam Trance Records",0.361,0.944,7,-7.875,0,0.0578,0.0156,0.00684,0.232,0.184,137.986,4
15QkRczMYGToQGdS6gO1fJ,"Save Me - Ciaran McAuley Remix","Save Me (Ciaran McAuley Remix)","Shogun,Emma Lock,Ciaran McAuley",2019-06-14,222608,26,killbottt,2024-04-16T09:48:26Z,"progressive house,trance,uplifting trance,vocal trance,irish electronic,progressive uplifting trance","Armada Captivating",0.462,0.982,1,-5.002,0,0.0921,0.00296,0.0433,0.778,0.052,137.954,4
45PhxB0L21PoxYjMLruBCe,"You and I","You and I","Ciaran McAuley,Roger Shah,Hannah Brine",2022-04-15,255652,24,killbottt,2024-04-16T09:48:26Z,"irish electronic,progressive uplifting trance,trance,uplifting trance,progressive house","Black Hole Recordings",0.515,0.965,0,-4.872,0,0.0353,0.00643,0.0156,0.121,0.123,137.967,4
5WD7n1SmKkZN9OysKjU0QR,"Anything","Anything","Ciaran McAuley,Clara Yates",2022-05-06,206833,10,killbottt,2024-04-16T09:48:26Z,"irish electronic,progressive uplifting trance,trance,uplifting trance,vocal trance","Black Hole Recordings",0.498,0.962,9,-6.09,1,0.0973,0.000398,0.00487,0.317,0.0826,135.984,4
4aflTgaweUtE9ucnOxmLIJ,"The Calling - XiJaro & Pitch Remix","The Calling (XiJaro & Pitch Remix)","RAM,Darren Porter,XiJaro & Pitch",2022-08-19,231535,18,killbottt,2024-04-16T09:48:26Z,"dutch trance,progressive house,progressive trance,progressive uplifting trance,trance,uplifting trance","Nocturnal Knights Music",0.461,0.998,8,-3.555,1,0.259,0.000116,0.912,0.512,0.0516,140.016,4
4aRtDsjs2xD9NJ84y0BC4Y,"Tuesday 8PM","Tuesday 8PM","XiJaro & Pitch",2022-12-09,227142,38,killbottt,2024-04-16T09:48:26Z,"dutch trance,uplifting trance","Nocturnal Knights Music",0.376,0.996,4,-6.084,0,0.482,0.0000689,0.962,0.39,0.0382,140.026,4
6m97Xs1FvSTbjmvR0QC5wr,"Darkness Falls","Darkness Falls","Illitheas",2021-10-13,266906,6,killbottt,2024-04-16T09:48:26Z,"progressive uplifting trance,uplifting trance","Abora Progressive",0.503,0.913,3,-6.155,0,0.0817,0.013,0.74,0.914,0.0971,134.014,4
441wXijxbV5PHFQlRuIpN3,"The Chronicles","The Chronicles (FSOE 500 Anthem)","Aly & Fila,Philippe El Sisi,Omar Sherif,Karim Youssef",2017-08-14,252181,16,killbottt,2024-04-16T09:48:26Z,"progressive house,trance,uplifting trance,progressive trance,progressive uplifting trance","FSOE",0.211,0.98,6,-5.703,1,0.117,0.00039,0.163,0.119,0.178,138.037,4
5jMTFQAlXgPF0phEP3I42Y,"A World Beyond (FSOE550 Anthem)","A World Beyond (FSOE550 Anthem)","Aly & Fila,Philippe El Sisi,Omar Sherif",2018-09-24,214564,9,killbottt,2024-04-16T09:48:26Z,"progressive house,trance,uplifting trance,progressive trance,progressive uplifting trance","FSOE",0.382,0.994,5,-4.048,0,0.0903,0.000116,0.9,0.156,0.38,140.04,4
0rzcnv9jvSyBK16wPAFw8y,"Beauty Is Here - Vocal Mix","Beauty Is Here","Philippe El Sisi,Miikka L,Aisling Jarvis",2020-03-23,220562,23,killbottt,2024-04-16T09:48:26Z,"progressive trance,progressive uplifting trance,trance,uplifting trance","FSOE",0.435,0.96,3,-5.777,0,0.0425,0.00393,0.236,0.669,0.261,135.006,4
7gWEIfBGOkGHLofbmDY78Y,"Listen","Best Of Vocal Trance 2016","Denis Kenzo,Kimberly Hale",2015-12-07,221818,8,killbottt,2024-04-16T09:48:26Z,"progressive house,progressive trance,russian edm,russian trance,trance,uplifting trance,vocal trance","SirAdrianMusic Bundles",0.335,0.854,5,-6.323,0,0.0707,0.0557,0.0000113,0.329,0.0958,132.138,4
6LkOhZevolKZUi9lW9vmcp,"All I Need - Suncatcher Radio Edit","Vocal Trance Top 40 2016","Aurosonic,Frainbreeze,Katty Heath,Suncatcher",2015-12-14,237688,0,killbottt,2024-04-16T09:48:26Z,"russian trance,trance,vocal trance,progressive trance,progressive uplifting trance,uplifting trance","SirAdrianMusic Bundles",0.444,0.867,1,-6.634,1,0.0462,0.000377,0.534,0.261,0.079,137.966,4
05s8gEUHKo21gVItOmc9CE,"Love Of My Control","Love Of My Control","Sneijder,Christina Novelli",2015-08-03,212898,21,killbottt,2024-04-16T09:48:26Z,"progressive house,progressive trance,trance,uplifting trance,vocal trance","Future Sound of Egypt",0.402,0.987,1,-6.104,0,0.0745,0.00677,0.689,0.376,0.108,137.994,4
5dop1VPrCCkq8AXQZy51NX,"This Time - Wach Remix","Vocal Trance Hits - Best Of 2014","Philippe El Sisi,Abstract Vision,Jilliana Danise,Wach",2014-12-05,237608,4,killbottt,2024-04-16T09:48:26Z,"progressive trance,progressive uplifting trance,trance,uplifting trance,russian trance","Armada Music Albums",0.436,0.981,0,-3.982,0,0.0974,0.000723,0.0647,0.219,0.0709,137.86,4
3rCsR7grPZWxQVnuy9dKdK,"All Of Us","All Of Us","STANDERWICK,Jennifer Rene",2015-05-29,239500,23,killbottt,2024-04-16T09:48:26Z,"progressive house,progressive trance,trance,uplifting trance,vocal trance","Future Sound of Egypt",0.336,0.915,6,-6.452,1,0.0531,0.0024,0.00321,0.401,0.083,138.005,4
4kkdx8f1hr4KwclY5PPVkc,"Breathe Us To Life - Monoverse Remix","Breathe Us To Life","Aly & Fila,HALIENE,Monoverse",2018-05-11,249230,23,killbottt,2024-04-16T09:48:26Z,"progressive house,trance,uplifting trance,melodic dubstep","FSOE Parallels",0.442,0.969,5,-4.143,1,0.0436,0.00613,0.0261,0.149,0.037,130.033,4
55vZNUNnhlcB8XY3MJpC8Q,"Silhouette - Steve Allen 2019 Respray","Silhouette (Steve Allen 2019 Respray)","Dart Rayne,Yura Moonlight,Sarah Lynn,Steve Allen",2019-08-23,172173,27,killbottt,2024-04-16T09:48:26Z,"deep uplifting trance,progressive uplifting trance,ukrainian electronic,uplifting trance,vocal trance,progressive trance,trance","Amsterdam Trance Records",0.408,0.98,2,-4.901,0,0.0706,0.00311,0.263,0.341,0.349,137.981,4
1FF1nMG1FFN1sfkRjrGHvE,"Heaven - Radio Edit","Heaven","Aurosonic,Denis Karpinskiy,Kate Louise Smith",2017-04-24,243750,11,killbottt,2024-04-16T09:48:26Z,"russian trance,trance,vocal trance","Aurosonic Music (RazNitzanMusic)",0.562,0.946,0,-3.089,0,0.0622,0.123,0.00445,0.373,0.424,128.016,4
6jRLeoe5RjxoDXvpmiDAgz,"What Makes Your Heart Beat - Radio Edit","22 Days - The Best Of","Adam Ellis,Fenna Day",2022-07-01,209535,1,killbottt,2024-04-16T09:48:26Z,"progressive trance,progressive uplifting trance,trance,uplifting trance,vocal trance","RNM Bundles",0.46,0.979,7,-5.011,0,0.0493,0.00215,0.00864,0.772,0.343,137.976,4
76GC1Dsmjehdpu6sBwZest,"The Air I Breathe","The Air I Breathe","Richard Durand,Christina Novelli",2018-10-12,198360,8,killbottt,2024-04-16T09:48:26Z,"dutch trance,progressive house,progressive trance,trance,uplifting trance,vocal trance","Magik Muzik",0.607,0.805,0,-6.104,1,0.0282,0.054,0.000131,0.156,0.595,130.018,4
5yWEkUUXDkBnsFVFJliswT,"Reminisce To '06","Reminisce To '06","Daniel Kandi",2019-09-20,235000,3,killbottt,2024-04-16T09:48:26Z,"danish electronic,progressive house,progressive trance,trance,uplifting trance","Always Alive Recordings",0.499,0.865,1,-8.762,0,0.0591,0.000283,0.923,0.236,0.0394,134.034,4
0jb0hkdpbHrDlQbZcvZAdz,"Smile","Smile","DRYM,Jennifer Rene",2016-06-24,201230,28,killbottt,2024-04-16T09:48:26Z,"progressive trance,trance,uplifting trance,vocal trance","A State of Trance",0.484,0.918,0,-5.02,1,0.0486,0.0109,0.0505,0.335,0.273,130.024,4
2V1BrpHiHIJTtzBBvjWSTH,"Nothing to Hide","Nothing to Hide","Cosmic Gate,Diana Miro",2021-08-06,214634,34,killbottt,2024-04-16T09:48:26Z,"german techno,german trance,progressive house,progressive trance,trance","Wake Your Mind Records",0.557,0.723,9,-5.638,0,0.0501,0.00557,0.00133,0.151,0.158,122.998,4
6uss5GDw40yTPaXuP7TsKU,"Restless Hearts - Ben Nicky Remix","Restless Hearts (Ben Nicky Remix)","Mark Sixma,Emma Hewitt,Ben Nicky",2016-06-03,254062,16,killbottt,2024-04-16T09:48:26Z,"dutch trance,progressive electro house,progressive house,trance,uplifting trance,vocal trance,hard trance","Who's Afraid Of 138?!",0.509,0.906,10,-6.418,0,0.062,0.00225,0.0221,0.12,0.0459,138.013,4
5Cdqt22oL8Y64gVqJgUmGr,"I Still Believe","The Best Of Suanda Voice 2022","State 91,Josie Sandfeld",2022-12-21,230593,0,killbottt,2024-04-16T09:48:26Z,"","Suanda Voice",0.414,0.973,3,-6.748,1,0.204,0.0986,0.672,0.473,0.154,137.933,4
0WLD7hGTI2H1uFjf6XgvvY,"Horizon - Extended Mix","Horizon","Van Der Karsten",2022-12-02,231356,1,killbottt,2024-04-16T09:48:26Z,"german trance","Future Sequence",0.441,0.947,7,-5.827,1,0.0444,0.000149,0.929,0.162,0.353,137.997,4
2aIXiYUBzGuQbPruODUTz8,"Missing","Missing","Mark Sixma,Emma Hewitt",2017-10-06,207700,16,killbottt,2024-04-16T09:48:26Z,"dutch trance,progressive electro house,progressive house,trance,uplifting trance,vocal trance","Armada Music",0.649,0.77,11,-8.229,0,0.134,0.163,0.00707,0.112,0.204,126.004,4
6FdSTDLbiflxeElwtZYgqW,"Searching (For a Kinder Love)","Searching (For a Kinder Love)","Ben Gold,Yasmin Jane",2022-04-22,187826,0,killbottt,2024-04-16T09:48:26Z,"progressive house,progressive trance,trance,uplifting trance","Kontor Records",0.51,0.995,9,-5.094,1,0.0598,0.000247,0.539,0.117,0.501,137.984,4
3LiU1IMIbzPR5MpOmo8HDt,"The Only Way","The Only Way","Daxson,Numa",2022-09-16,286222,24,killbottt,2024-04-16T09:48:26Z,"progressive trance","Coldharbour Recordings",0.463,0.9,3,-5.477,0,0.0811,0.014,0.00445,0.0958,0.0775,134.973,4
59931j3Sk79BBFY4Xr7CyZ,"Numb","Numb","Christina Novelli",2020-12-18,212193,28,killbottt,2024-04-16T09:48:26Z,"trance,vocal trance","Muse Music Records",0.226,0.948,1,-5.285,0,0.0768,0.00042,0.000644,0.108,0.179,132.039,4
1FmEpLeaNbYe5MhgKdCtfg,"Change The World","Change The World","Ben Gold,Allen Watts",2021-04-23,177446,28,killbottt,2024-04-16T09:48:26Z,"progressive house,progressive trance,trance,uplifting trance","Who's Afraid Of 138?!",0.447,0.993,5,-4.612,0,0.077,0.00782,0.499,0.699,0.325,137.991,4
4qSCltBg7cjcuATty8Afmp,"Beyond The Horizon - Mickey Marr Remix Edit","Beyond The Horizon","The Noble Six,Mickey Marr",2019-11-07,226285,12,killbottt,2024-04-16T09:48:26Z,"progressive trance,progressive uplifting trance,trance,uplifting trance","Nu:Chain Music",0.298,0.998,0,-5.993,1,0.109,0.00313,0.969,0.695,0.129,139.992,4
3t2wpXOjT12d41UkqUlfwo,"The Oasis - Radio Edit","The Oasis","Talla 2XLC",2019-06-14,210000,16,killbottt,2024-04-16T09:48:26Z,"bubble trance,frankfurt electronic,german techno,trance,uplifting trance","ZYX Music",0.411,0.98,3,-5.563,0,0.247,0.00113,0.602,0.394,0.0929,140.03,4
1Li7MQhiEkANjpxG0X4GUK,"For The One You Love","For The One You Love","Roger Shah,RAM,Natalie Gioia",2018-06-18,236521,32,killbottt,2024-04-16T09:48:26Z,"progressive house,trance,uplifting trance,dutch trance,progressive trance,progressive uplifting trance,ukrainian edm,vocal trance","FSOE",0.428,0.837,5,-6.384,1,0.0457,0.00278,0.0858,0.0774,0.131,138.065,4
67kWJ3XKNAobRMaeNSXA0U,"Missing - Jorn van Deynhoven Remix","Missing (Jorn van Deynhoven Remix)","Mark Sixma,Emma Hewitt,Jorn Van Deynhoven",2018-07-13,203056,29,killbottt,2024-04-16T09:48:26Z,"dutch trance,progressive electro house,progressive house,trance,uplifting trance,vocal trance,progressive trance","Armada Music",0.467,0.995,11,-4.994,0,0.0966,0.000636,0.0989,0.347,0.118,138.004,4
2puJRo8uTCdER0MUyXGFsb,"Shivers - Extended Mix","Shivers","Armin van Buuren",2005-08-08,453320,32,killbottt,2024-04-16T09:51:27Z,"dutch house,dutch trance,edm,pop dance,progressive house,trance","Armada Music Albums",0.557,0.826,1,-10.079,1,0.0399,0.0004,0.701,0.267,0.292,135.008,4
1qVmpBFgYDSIrZbvayMSJm,"Waiting - Radio Edit","Waiting","Dash Berlin,Emma Hewitt",2009-10-05,179893,14,killbottt,2024-04-16T09:51:58Z,"big room,dutch house,dutch trance,edm,pop dance,progressive electro house,progressive house,trance,uplifting trance,vocal trance","North Sea Music",0.481,0.878,6,-6.59,0,0.0739,0.142,0,0.0587,0.195,136.027,4
3RoJ9WlyOvCbn5utJ2TRFo,"Fiji - ReOrder Remix","Fiji","Atlantis,ReOrder",2019-08-23,205578,28,killbottt,2024-04-16T09:52:08Z,"progressive house,progressive trance,trance,uplifting trance","Black Hole Recordings",0.479,0.977,0,-5.707,0,0.043,0.000155,0.865,0.429,0.224,137.983,4
1vwoYRJSso1lkuA97Idk1P,"Not All Superheroes Wear Capes - Radio Edit","Not All Superheroes Wear Capes (Club Mix)","Alex M.O.R.P.H.",2016-07-01,193999,12,killbottt,2024-04-16T09:55:59Z,"german techno,german trance,progressive house,progressive trance,trance,uplifting trance","VANDIT Records",0.417,0.997,0,-5.373,1,0.06,0.000196,0.96,0.35,0.389,138.015,4
